Date,Steps,Heart
2023-07-03,15511,57
2023-07-04,14647,65
2023-07-05,23624,78
2023-07-06,20778,72
2023-07-07,11407,49
2023-07-08,20943,70
2023-07-09,22877,71
2023-07-10,10201,55
2023-07-11,14709,63
2023-07-12,15075,53
2023-07-13,18620,67
2023-07-14,13188,60
2023-07-15,9585,58
2023-07-03,15511,57
2023-07-04,14647,65
2023-07-05,23624,78
2023-07-06,20778,72
2023-07-07,11407,49
2023-07-08,20943,70
2023-07-09,22877,71
2023-07-10,10201,55
2023-07-11,14709,63
2023-07-12,15075,53
2023-07-13,18620,67
2023-07-14,13188,60
2023-07-15,9585,58
